tweet_id,tweet,sarcasm_label,sarcasm_type
992251158159765000,It's been a while since I visited my grandparents.,not_sarcastic,
1084373658745870000,Well done Monty. Mark that up as your first ever 100% honest and accurate post here.,not_sarcastic,
812181186,"@davesnyder since this is fantasy can it be any individual in time, or just alive today?",not_sarcastic,
1090276741329920000,Really? I don't think you know what you are talking about. Please provide evidence to back your claim. Thanks.,not_sarcastic,
553070692682723000,Missed #ToughEnough tonight? No worries. Just watch the episode on WWE's social media where they show every clip for free. #sarcasm @WWE,sarcastic,sarcasm
656305619268296000,Life has a funny way of helping you out when You think everything's gone wrong #ironic,sarcastic,irony
657590181873094000,Open road. ðŸšŠðŸš˜ #live #life #peace #notraffic http://t.co/vQfdOfIvTz,not_sarcastic,
1090351571395890000,An Ounce of MIND NUMBING TERROR http://t.co/t1ssZh1nhQ #Humor,not_sarcastic,
914961092698353000,Great #Waldo Of #China by @LTCartoons #parody #humor #funny #whereswaldo Shop w/us  http://t.co/TPHTydHc8q http://t.co/3ErSIQQXnA,not_sarcastic,
4462049401,"You know its going to be a great day of work when you're counting down the minutes.. In my case, i have 5 hours and 56 minutes! #sarcasm",sarcastic,sarcasm
266014291373735000,Go to your happy place! #photography #peace #wisdom http://t.co/VXFAkvSPdN,not_sarcastic,
298514976090501000,Idk but this is so calming and it touches my heart â¤ #Palestine #Peace #Justice_in_the_world #ProudPalestinian,not_sarcastic,
9236792067,Proposed Legislation Aims To Support Student #Veterans With Child Care via @forbes http://t.co/B5oRc8aEy8 #education,not_sarcastic,
1080104089277680000,10 Ways To Tell If Your #Teen Is On #Drugs,not_sarcastic,
1048898215662290000,I am not crazy. My reality is just different than yours. #sarcasm #smirking,sarcastic,sarcasm
1010968843865350000,"Congress returns to yet another spending crisis, fears of government shutdown.",not_sarcastic,
1088212777385170000,I was taking selfies at the park today when I met her???? ,sarcastic,satire
1090495400752990000,http://t.co/yjIh6Y1DDo Natural #healing for #depression without #drugs http://t.co/LDb7u7bctr,not_sarcastic,
1090418813483380000,Ron Paul Says States Should Be Allowed To Secede http://t.co/cyjrceaUzK #news #politics #health #entertainment #fâ€¦ http://t.co/LacmA8ffZA,not_sarcastic,
1089996273527280000,http://t.co/lmWAueLkMY Rate of #antidepressant usage up 400% in the US. #Heal #depression w/out #drugs http://t.co/X47xVPwXZQ,not_sarcastic,
1060189319808240000,http://t.co/kuY1cPEY8S Do you know how to heal #depression without #drugs http://t.co/8075CwjLG4,not_sarcastic,
951198457955586000,OMG #late for work again!!! I need to get my act together!! Lol not happening at this hour.,not_sarcastic,
100010647806427000,"Dear life, When I said ""can my day get any worse"" it was not a challenge.",sarcastic,rhetorical question
